,25th Aban (CO),Enghelab (CO),Farshadi (CO),Feiz (CO),Kave (CO),Kerd abad (CO),Mirza Taher (CO),Rehnan (CO),Sanati University (CO),Veldan (CO),25th Aban (O3),Farshadi (O3),25th Aban (NO),Farshadi (NO),Feiz (NO),Kerd abad (NO),Sanati University (NO),Veldan (NO),25th Aban (NO2),Farshadi (NO2),Feiz (NO2),Kerd abad (NO2),Sanati University (NO2),Veldan (NO2),25th Aban (SO2),Enghelab (SO2),Farshadi (SO2),Feiz (SO2),Kave (SO2),Kerd abad (SO2),Mirza Taher (SO2),Rehnan (SO2),Sanati University (SO2),Veldan (SO2),Zamzam Park (PM10),Zeynabiye (PM10),25th Aban (PM2.5),Enghelab (PM2.5),Farshadi (PM2.5),Feiz (PM2.5),Kave (PM2.5),Kerd abad (PM2.5),Mirza Taher (PM2.5),Rehnan (PM2.5),Sanati University (PM2.5),SepahanShahr (PM2.5),Veldan (PM2.5),Zamzam Park (PM2.5),Zeynabiye (PM2.5)
Feiz (NO2),0.336703992,0.275674476,0.558016236,0.620532743,0.016652327,0.45035361,0.282281997,0.251438192,0.471359735,0.563078491,-0.409097476,-0.582081603,0.420357865,0.43897264,0.547345716,0.502405436,0.312853124,0.375008576,0.519377605,0.727788933,0,0.660517404,0.436166098,0.727974358,0.145941102,0.066767107,0.094502816,-0.029545147,-0.037993065,0.003545168,-0.195829019,0.108264259,0.324287449,0.218652098,0.404057513,0.401528645,0.307764714,0.230291893,0.322071573,0.306893785,0.242728226,0.334681581,0.113059676,0.268907378,0.346201893,0.352845421,0.292035976,0.492097875,0.494761687
Kerd abad (NO2),0.29007323,0.171529717,0.498957413,0.534754613,-0.096069806,0.456745692,0.227076419,0.228259293,0.415426707,0.504449014,-0.416584237,-0.679346708,0.47654592,0.489971585,0.431205809,0.637994887,0.275920179,0.400401979,0.492796697,0.803028722,0.660517404,0,0.325166519,0.745157581,0.178946704,0.054147712,-0.029412333,-0.245420956,-0.185120966,-0.194091599,-0.34334699,0.189665556,0.360166536,0.330178442,0.295150145,0.287889931,0.26502553,0.211664939,0.269081175,0.231639104,0.140524451,0.322617924,0.078042211,0.248091204,0.251889185,0.280128472,0.223134809,0.45285508,0.437246732
Sanati University (NO2),0.124503093,0.153833742,0.406711395,0.271348959,0.219675559,0.343338973,0.218524514,0.157969771,0.706345335,0.47567781,-0.209203709,-0.139168534,0.143880106,0.406408072,0.429339199,0.351371948,0.72281999,0.388830013,0.237542232,0.386366534,0.436166098,0.325166519,0,0.464808648,0.29037091,0.20679905,0.178291432,0.004967276,0.366731636,0,0.107445622,0.043296765,0.39257648,0.056712001,0.343248013,0.372841489,0.377478828,0.343411821,0.39925767,0.382362363,0.412829656,0.407665429,0.320031075,0.387337447,0.492260081,0.370376348,0.390931326,0.366982784,0.410046276
Veldan (NO2),0.296408375,0.244488818,0.588205475,0.573761552,-0.022739165,0.422840163,0.263778352,0.272503287,0.585555504,0.666865634,-0.469265908,-0.691894243,0.474128871,0.562669276,0.587314112,0.54537195,0.362385406,0.56006297,0.570806341,0.835162643,0.727974358,0.745157581,0.464808648,0,0.174060827,0.125993415,-0.04653001,-0.212634008,-0.02495951,-0.178563645,-0.264155212,0.248450688,0.40755879,0.395808179,0.375978093,0.368710888,0.336294696,0.23613608,0.311652303,0.275690711,0.263501909,0.326384796,0.12213067,0.319663294,0.40757612,0.391331096,0.308984996,0.558455566,0.525898483
25th Aban (SO2),0.216825552,0.181625346,0.275516318,0.207014224,0.150407739,0.321623674,0.226793799,0.157429976,0.401691256,0.227260361,-0.307333059,-0.328919757,0.36556339,0.332112368,0.32247673,0.304784403,0.317608777,0.279876209,0.154006177,0.152813058,0.145941102,0.178946704,0.29037091,0.174060827,0,0.258153896,0.634870901,0.442627493,0.217383051,0.271744715,0.262514403,0.231252054,0.426304474,0.253120498,0.173033463,0.192256711,0.319108627,0.202197775,0.267759098,0.257969891,0.195824555,0.27654904,0.223346906,0.167776485,0.289325293,0.281289476,0.251549763,0.352024275,0.327502845
Enghelab (SO2),0.064196723,0.32854192,0.129384352,0.0516146,0.201009681,0.121542661,0.167045945,0.168610964,0.173453515,0.152732157,-0.005514858,0.051378517,0.104018571,0.201886549,0.160132298,0.074449447,0.169331415,0.21145983,0.094896449,0.077326991,0.066767107,0.054147712,0.20679905,0.125993415,0.258153896,0,0.229219285,0.220631612,0.495551451,0.086052736,0.504749749,0.575829064,0.363015939,0.360505812,0.150467819,0.143914767,0.132868323,0.086650077,0.153973094,0.123305471,0.131550156,0.080427393,0.11986827,0.114334277,0.199057499,0.183828615,0.146715985,0.196148886,0.117988285
Farshadi (SO2),0.136544514,0.198057899,0.159123374,0.156281694,0.236222112,0.259304013,0.23310968,0.167503518,0.351694041,0.174380406,-0.151012402,-0.217734701,0.250193411,0.161649848,0.218488765,0.160830234,0.30507237,0.122902998,0.133058381,-0.045787571,0.094502816,-0.029412333,0.178291432,-0.04653001,0.634870901,0.229219285,0,0.715541314,0.229339267,0.68379513,0.384567788,0.126608774,0.343174723,0.188676221,0.039252739,0.055074508,0.219408898,0.215829331,0.249160681,0.256815162,0.192708257,0.246269439,0.220710371,0.137641291,0.234065494,0.241198267,0.22948591,0.24294582,0.194729585
Feiz (SO2),0.00043265,0.156913372,0.069662771,0.062886759,0.296372398,0.246867171,0.28276265,0.138620223,0,0.079221709,-0.160464925,0,0.136895771,0.128185795,0.242848334,0.08267742,0.008124833,0.101517905,-0.150502566,-0.251417988,-0.029545147,-0.245420956,0.004967276,-0.212634008,0.442627493,0.220631612,0.715541314,0,0.320559354,0.48038061,0.487630747,0.011666144,0,0.08631213,0.058913195,-0.093498442,0.092328641,0.056544072,0.126711498,0.186741316,0.139019665,0.148668259,0.179621222,0.051330527,0.074770218,0.083681512,0.163721532,0.106557269,-0.053366511
Kave (SO2),0.020248563,0.266533468,0.217387106,0.079795621,0.368327441,0.239938038,0.08524898,0.114088212,0.342516392,0.190716492,-0.059965393,-0.027751447,-0.065037626,0.162045622,0.213616813,0.031476569,0.218459411,0.220117916,-0.058508122,-0.125802734,-0.037993065,-0.185120966,0.366731636,-0.02495951,0.217383051,0.495551451,0.229339267,0.320559354,0,0.230000806,0.542119057,0.43278543,0.327719969,0.115430917,0.249264529,0.325933152,0.139961243,0.058942008,0.137707196,0.146627482,0.213145996,0.089740334,0.177984531,0.064365705,0.316561847,0.261816445,0.206630779,0.232541552,0.277022505
Kerd abad (SO2),-0.093711932,0.334617187,0.032999912,0.080175162,-0.163016708,0.400793343,0.138441274,0.001620241,0,0.067584514,-0.198857859,0,0.127077845,0.239029778,0.303232657,0.254494962,0,0.240405483,0.256316627,-0.313338064,0.003545168,-0.194091599,0,-0.178563645,0.271744715,0.086052736,0.68379513,0.48038061,0.230000806,0,0.544597969,0.136589972,0,0.021148919,0,0,0.028922759,0.103217343,0.12238445,0.196388443,0.156166396,0.199111762,0.085958239,0.162118525,0.007449613,0.048257207,0.148025332,0,0
